序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
106,臺北市,2014/01/16,松山,2.8,0.57,430.05,18.0,38,22,42.42,15.01,27.4,1.84,14.76,59.93
107,臺北市,2014/01/16,古亭,1.8,0.45,-,24.4,43,20,26.11,7.92,18.19,2.62,15.22,61.84
108,臺北市,2014/01/16,中山,1.9,0.8,-,12.1,67,30,56.97,24.69,32.29,1.95,15.85,61.74
109,臺北市,2014/01/16,大同,4.6,1.34,-,-,59,27,105.6,67.74,37.85,-,-,-
110,臺北市,2014/01/16,萬華,2.9,0.58,-,16.6,42,24,45.8,16.04,29.77,2.51,15.85,57.47
111,臺北市,2014/01/16,陽明,1.3,0.15,-,40.7,18,12,2.93,1.5,1.43,-,8.51,92.75
112,臺北市,2014/01/16,士林,2.2,0.34,-,31.5,46,23,20.32,8.04,12.27,2.27,15.71,58.61
113,臺北市,2014/01/15,松山,2.5,0.33,419.58,33.1,36,23,18.5,2.79,15.71,2.36,14.34,54.12
114,臺北市,2014/01/15,古亭,1.4,0.33,-,31.6,49,22,18.16,3.87,14.29,2.99,14.56,57.24
115,臺北市,2014/01/15,中山,1.5,0.55,-,22.0,64,35,33.52,10.18,23.33,2.41,15.0,57.93
116,臺北市,2014/01/15,大同,2.3,0.93,-,-,55,27,68.94,38.25,30.69,-,-,-
117,臺北市,2014/01/15,萬華,2.2,0.41,-,25.6,40,24,29.63,6.63,23.0,2.94,14.92,53.65
118,臺北市,2014/01/15,陽明,1.3,0.16,410.64,44.7,18,12,1.96,0.7,1.27,-,6.64,91.32
119,臺北市,2014/01/15,士林,1.5,0.24,-,38.5,44,22,10.94,2.53,8.41,2.58,14.65,55.41
120,臺北市,2014/01/14,松山,1.8,0.38,421.1,32.4,28,21,18.8,2.78,16.02,2.06,13.79,78.83
121,臺北市,2014/01/14,古亭,1.9,0.52,-,21.9,44,22,32.38,8.13,24.25,1.84,13.99,83.75
122,臺北市,2014/01/14,中山,2.5,0.54,-,22.6,48,25,31.23,9.49,21.74,1.55,14.78,78.98
123,臺北市,2014/01/14,大同,3.8,1.4,-,-,53,28,86.08,53.91,32.18,-,-,-
124,臺北市,2014/01/14,萬華,2.2,0.5,-,23.3,26,16,31.11,6.44,24.67,1.69,14.6,76.58
125,臺北市,2014/01/14,陽明,1.7,0.22,414.84,45.9,6,5,2.69,0.54,2.08,-,7.61,99.0
126,臺北市,2014/01/14,士林,1.6,0.29,-,36.3,26,15,14.51,4.03,10.48,2.2,14.48,72.47
127,臺北市,2014/01/13,松山,1.3,0.54,425.99,25.4,37,32,26.97,4.56,22.41,1.84,15.07,79.99
128,臺北市,2014/01/13,古亭,2.3,0.57,-,23.4,56,31,26.41,4.85,21.56,2.17,15.44,82.44
129,臺北市,2014/01/13,中山,2.2,0.71,-,18.8,59,38,35.59,10.65,24.94,1.7,16.36,78.33
130,臺北市,2014/01/13,大同,3.4,1.71,-,-,68,37,90.19,56.14,34.05,-,-,-
131,臺北市,2014/01/13,萬華,2.5,0.62,-,21.0,40,29,33.55,6.84,26.7,2.1,15.95,77.67
132,臺北市,2014/01/13,陽明,1.9,0.31,417.49,45.1,12,9,3.3,0.73,2.57,-,9.21,99.0
133,臺北市,2014/01/13,士林,1.7,0.38,-,36.3,41,24,11.81,2.35,9.69,2.13,16.34,70.61
134,臺北市,2014/01/12,松山,2.0,0.59,433.1,18.6,37,27,30.8,8.61,22.19,1.67,16.79,76.74
135,臺北市,2014/01/12,古亭,2.0,0.55,-,16.6,38,22,27.14,6.84,20.3,1.69,16.85,79.71
136,臺北市,2014/01/12,中山,3.7,0.69,-,14.1,68,30,38.56,14.03,24.54,1.41,17.76,79.46
137,臺北市,2014/01/12,大同,3.9,1.3,-,-,57,29,59.44,32.56,26.88,-,-,-
138,臺北市,2014/01/12,萬華,-,0.71,-,13.2,33,24,36.66,9.96,26.71,1.32,17.37,79.37
139,臺北市,2014/01/12,陽明,1.2,0.21,412.57,38.9,7,5,3.81,1.05,2.77,-,10.98,98.38
140,臺北市,2014/01/12,士林,2.4,0.43,-,23.4,36,20,19.88,5.24,14.64,1.99,17.1,76.48
141,臺北市,2014/01/11,松山,1.6,0.45,425.16,26.7,19,14,27.78,9.32,18.45,1.85,18.43,67.78
142,臺北市,2014/01/11,古亭,1.7,0.52,-,24.7,30,14,29.75,10.89,18.85,2.35,19.35,67.94
143,臺北市,2014/01/11,中山,1.3,0.67,-,18.1,42,22,39.3,14.16,25.14,2.0,19.81,67.65
144,臺北市,2014/01/11,大同,2.1,1.25,-,-,51,22,83.65,48.66,34.98,-,-,-
145,臺北市,2014/01/11,萬華,1.8,0.51,-,21.5,21,14,36.39,11.56,24.84,2.3,19.69,65.79
